,id,name,struct,type,typeField
0,1,structQueue,structQueue,__attribute__((aligned(4))),Not defined in .h
1,2,nextAvailableSlot,structQueue,int,Not defined in .h
2,3,*dword4,structQueue,char,Not defined in .h
3,4,maxSize,structQueue,_DWORD,Not defined in .h
4,5,valuePtr,structQueue,_DWORD,Not defined in .h
5,6,valuePtrXOR,structQueue,_DWORD,Not defined in .h
6,1,struct_queue_big,struct_queue_big,__attribute__((aligned(2))),Not defined in .h
7,2,poistionRel,struct_queue_big,__int16,Not defined in .h
8,3,field_2,struct_queue_big,__int16,Not defined in .h
9,4,poistionRel_FromEnd,struct_queue_big,__int16,Not defined in .h
10,5,field_6,struct_queue_big,__int16,Not defined in .h
11,6,base,struct_queue_big,__int8,Not defined in .h
12,7,field_9,struct_queue_big,__int8,Not defined in .h
13,8,field_A,struct_queue_big,__int16,Not defined in .h
14,9,field_C,struct_queue_big,__int8,Not defined in .h
15,10,field_D,struct_queue_big,__int8,Not defined in .h
16,11,field_E,struct_queue_big,__int8,Not defined in .h
17,12,field_F,struct_queue_big,char,Not defined in .h
18,13,poistionRel_xor,struct_queue_big,__int16,Not defined in .h
19,14,field_12,struct_queue_big,__int16,Not defined in .h
20,15,field_14,struct_queue_big,__int16,Not defined in .h
21,16,field_16,struct_queue_big,__int16,Not defined in .h
22,17,field_18,struct_queue_big,__int8,Not defined in .h
23,18,field_19,struct_queue_big,__int8,Not defined in .h
24,19,field_1A,struct_queue_big,__int16,Not defined in .h
25,20,field_1C,struct_queue_big,__int8,Not defined in .h
26,21,field_1D,struct_queue_big,__int8,Not defined in .h
27,22,field_1E,struct_queue_big,__int8,Not defined in .h
28,23,field_1F,struct_queue_big,char,Not defined in .h
29,1,struct_error_ref,struct_error_ref,struct,Not defined in .h
30,2,word0,struct_error_ref,_WORD,Not defined in .h
31,3,word2,struct_error_ref,_WORD,Not defined in .h
32,4,word4,struct_error_ref,_WORD,Not defined in .h
33,5,word6,struct_error_ref,_WORD,Not defined in .h
34,1,struct_bg,struct_bg,__attribute__((aligned(4))),Not defined in .h
35,2,field_0,struct_bg,int,Not defined in .h
36,3,field_4,struct_bg,char,Not defined in .h
37,4,field_5,struct_bg,char,Not defined in .h
38,5,field_6,struct_bg,__int16,Not defined in .h
39,6,*field_8,struct_bg,struct_bg,Not defined in .h
40,7,field_C,struct_bg,int,Not defined in .h
41,8,field_10,struct_bg,__int16,Not defined in .h
42,9,field_12,struct_bg,__int16,Not defined in .h
43,10,field_14,struct_bg,int,Not defined in .h
44,11,field_18,struct_bg,int,Not defined in .h
45,12,field_1C,struct_bg,int,Not defined in .h
46,13,field_20,struct_bg,int,Not defined in .h
47,14,field_24,struct_bg,int,Not defined in .h
48,15,field_28,struct_bg,int,Not defined in .h
49,1,struct_usb_something24100,struct_usb_something24100,struct,Not defined in .h
50,2,gap0[6],struct_usb_something24100,_BYTE,Not defined in .h
51,3,byte6,struct_usb_something24100,_BYTE,Not defined in .h
52,4,byte7,struct_usb_something24100,_BYTE,Not defined in .h
53,5,gap8[19],struct_usb_something24100,_BYTE,Not defined in .h
54,6,byte1B,struct_usb_something24100,_BYTE,Not defined in .h
55,7,gap1C[2],struct_usb_something24100,_BYTE,Not defined in .h
56,8,byte1E,struct_usb_something24100,_BYTE,Not defined in .h
57,1,struct_0,struct_0,struct,Not defined in .h
58,2,*anonymous_0,struct_0,void,Not defined in .h
59,3,*aAboveGoal,struct_0,char,Not defined in .h
60,4,*aAddBgReading,struct_0,char,Not defined in .h
61,5,*aAlertsReminder,struct_0,char,Not defined in .h
62,6,*aRef02d03d04d05,struct_0,char,Not defined in .h
63,7,*aRef02d03d02d03,struct_0,char,Not defined in .h
64,8,*aAllHistory,struct_0,char,Not defined in .h
65,9,*aAlarmHistory_1,struct_0,char,Not defined in .h
66,10,*aAlwaysOn,struct_0,char,Not defined in .h
67,11,*aA_2,struct_0,char,Not defined in .h
68,12,*aApril,struct_0,char,Not defined in .h
69,13,*aAsAResultOfT_0,struct_0,char,Not defined in .h
70,14,*aAsAResultOfThe,struct_0,char,Not defined in .h
71,15,*aAsAResultOfT_2,struct_0,char,Not defined in .h
72,16,*aAssignEditBgTa,struct_0,char,Not defined in .h
73,17,*aAugust,struct_0,char,Not defined in .h
74,18,*aAutoOff,struct_0,char,Not defined in .h
75,19,*aAvgBg,struct_0,char,Not defined in .h
76,20,*aAvgReadsDay,struct_0,char,Not defined in .h
77,21,*aMeterTemperatu,struct_0,char,Not defined in .h
78,22,*aTempStopped,struct_0,char,Not defined in .h
79,23,*aMaxBasal,struct_0,char,Not defined in .h
80,24,*aBasalB,struct_0,char,Not defined in .h
81,25,*aBasalPrograms,struct_0,char,Not defined in .h
82,26,*aTempBasalYRema,struct_0,char,Not defined in .h
83,27,*aDeliveryInterr,struct_0,char,Not defined in .h
84,28,*aOffBeepOnly,struct_0,char,Not defined in .h
85,29,*aBelowGoal,struct_0,char,Not defined in .h
86,30,*aBg,struct_0,char,Not defined in .h
87,31,*aCheckForKetone,struct_0,char,Not defined in .h
